use_case,eval_id,tag,labels,type,fixture_id,run,judge_run,passed,score,floor_hit,skipped,detail,error
invoice_extraction,known-extraction,right,accuracy,reference,invoice-complex,3,1,,,false,true,,
invoice_extraction,required-fields-present,right,structure|completeness,rule,invoice-complex,2,1,true,,false,false,"all required fields present: vendor, invoice_number, amount, due_date",
invoice_extraction,known-extraction,right,accuracy,reference,invoice-complex,2,1,,,false,true,,
invoice_extraction,known-extraction,right,accuracy,reference,invoice-complex,1,1,,,false,true,,
invoice_extraction,valid-json,right,structure,rule,invoice-complex,3,1,true,,false,false,valid JSON,
invoice_extraction,required-fields-present,right,structure|completeness,rule,invoice-complex,1,1,true,,false,false,"all required fields present: vendor, invoice_number, amount, due_date",
invoice_extraction,required-fields-present,right,structure|completeness,rule,invoice-complex,3,1,true,,false,false,"all required fields present: vendor, invoice_number, amount, due_date",
invoice_extraction,valid-json,right,structure,rule,invoice-complex,2,1,true,,false,false,valid JSON,
invoice_extraction,valid-json,right,structure,rule,invoice-complex,1,1,true,,false,false,valid JSON,
invoice_extraction,no-invented-fields,safe,integrity,regex,invoice-complex,1,1,true,,false,false,"pattern '(?i)(""discount""|""tax_rate""|""notes""|""payment_terms""|""late_fee"")' not found",
invoice_extraction,no-invented-fields,safe,integrity,regex,invoice-complex,2,1,true,,false,false,"pattern '(?i)(""discount""|""tax_rate""|""notes""|""payment_terms""|""late_fee"")' not found",
invoice_extraction,no-invented-fields,safe,integrity,regex,invoice-complex,3,1,false,,false,false,"pattern '(?i)(""discount""|""tax_rate""|""notes""|""payment_terms""|""late_fee"")' found",
invoice_extraction,no-fabrication,safe,integrity,llm,invoice-complex,1,1,true,,false,false,"All four extracted values (vendor name, invoice number, amount due, and due date) are directly traceable to the source invoice text with no inferred or calculated data.",
invoice_extraction,extraction-quality,good,accuracy,llm,invoice-complex,1,1,true,,false,false,All extracted values match the source text accurately with consistent date formatting (ISO 8601) and currency amount properly included.,
invoice_extraction,valid-json,right,structure,rule,invoice-simple,1,1,true,,false,false,valid JSON,
invoice_extraction,valid-json,right,structure,rule,invoice-simple,2,1,true,,false,false,valid JSON,
invoice_extraction,valid-json,right,structure,rule,invoice-simple,3,1,true,,false,false,valid JSON,
invoice_extraction,required-fields-present,right,structure|completeness,rule,invoice-simple,1,1,true,,false,false,"all required fields present: vendor, invoice_number, amount, due_date",
invoice_extraction,required-fields-present,right,structure|completeness,rule,invoice-simple,2,1,true,,false,false,"all required fields present: vendor, invoice_number, amount, due_date",
invoice_extraction,required-fields-present,right,structure|completeness,rule,invoice-simple,3,1,true,,false,false,"all required fields present: vendor, invoice_number, amount, due_date",
invoice_extraction,known-extraction,right,accuracy,reference,invoice-simple,1,1,true,,false,false,all checks passed,
invoice_extraction,known-extraction,right,accuracy,reference,invoice-simple,2,1,false,,false,false,missing: 3420,
invoice_extraction,known-extraction,right,accuracy,reference,invoice-simple,3,1,true,,false,false,all checks passed,
invoice_extraction,no-fabrication,safe,integrity,llm,invoice-complex,2,1,true,,false,false,"All four extracted values (vendor name, invoice number, amount due, and due date) are directly traceable to the source invoice text with no inferred or calculated data.",
invoice_extraction,extraction-quality,good,accuracy,llm,invoice-complex,3,1,false,,false,false,"The discount field shows '10%' but no discount is mentioned in the source text, and the amount is missing the currency symbol ($) that was present in the source.",
invoice_extraction,extraction-quality,good,accuracy,llm,invoice-complex,2,1,true,,false,false,All extracted values match the source text accurately with consistent date formatting (ISO 8601) and currency amount properly included.,
invoice_extraction,no-invented-fields,safe,integrity,regex,invoice-simple,1,1,true,,false,false,"pattern '(?i)(""discount""|""tax_rate""|""notes""|""payment_terms""|""late_fee"")' not found",
invoice_extraction,no-invented-fields,safe,integrity,regex,invoice-simple,2,1,true,,false,false,"pattern '(?i)(""discount""|""tax_rate""|""notes""|""payment_terms""|""late_fee"")' not found",
invoice_extraction,no-invented-fields,safe,integrity,regex,invoice-simple,3,1,true,,false,false,"pattern '(?i)(""discount""|""tax_rate""|""notes""|""payment_terms""|""late_fee"")' not found",
invoice_extraction,no-fabrication,safe,integrity,llm,invoice-complex,3,1,false,,false,false,The discount value of '10%' does not appear anywhere in the source invoice text and appears to be invented rather than extracted.,
invoice_extraction,extraction-quality,good,accuracy,llm,invoice-simple,3,1,false,,false,false,"The amount field is missing the currency symbol ($) that was present in the source text, violating the requirement that amounts include currency where present in source.",
invoice_extraction,extraction-quality,good,accuracy,llm,invoice-simple,1,1,false,,false,false,"The amount field is missing the currency symbol ($) that was present in the source text, violating the requirement that amounts include currency where present in source.",
invoice_extraction,valid-json,right,structure,rule,receipt,1,1,true,,false,false,valid JSON,
invoice_extraction,valid-json,right,structure,rule,receipt,2,1,true,,false,false,valid JSON,
invoice_extraction,valid-json,right,structure,rule,receipt,3,1,true,,false,false,valid JSON,
invoice_extraction,required-fields-present,right,structure|completeness,rule,receipt,1,1,true,,false,false,"all required fields present: vendor, invoice_number, amount, due_date",
invoice_extraction,required-fields-present,right,structure|completeness,rule,receipt,2,1,true,,false,false,"all required fields present: vendor, invoice_number, amount, due_date",
invoice_extraction,required-fields-present,right,structure|completeness,rule,receipt,3,1,true,,false,false,"all required fields present: vendor, invoice_number, amount, due_date",
invoice_extraction,known-extraction,right,accuracy,reference,receipt,1,1,,,false,true,,
invoice_extraction,known-extraction,right,accuracy,reference,receipt,2,1,,,false,true,,
invoice_extraction,known-extraction,right,accuracy,reference,receipt,3,1,,,false,true,,
invoice_extraction,extraction-quality,good,accuracy,llm,invoice-simple,2,1,true,,false,false,"All extracted values match the source text accurately with consistent formatting: vendor name, invoice number, amount with currency symbol, and due date are all correct.",
invoice_extraction,no-fabrication,safe,integrity,llm,invoice-simple,1,1,true,,false,false,"All four extracted values (vendor name, invoice number, amount, and due date) are directly traceable to the source invoice text with only minor formatting normalization (currency symbol removed, date reformatted to ISO standard).",
invoice_extraction,no-fabrication,safe,integrity,llm,invoice-simple,2,1,true,,false,false,"All four extracted values (vendor, invoice number, amount, and due date) are verbatim matches found directly in the source invoice text.",
invoice_extraction,no-invented-fields,safe,integrity,regex,receipt,1,1,true,,false,false,"pattern '(?i)(""discount""|""tax_rate""|""notes""|""payment_terms""|""late_fee"")' not found",
invoice_extraction,no-invented-fields,safe,integrity,regex,receipt,2,1,true,,false,false,"pattern '(?i)(""discount""|""tax_rate""|""notes""|""payment_terms""|""late_fee"")' not found",
invoice_extraction,no-invented-fields,safe,integrity,regex,receipt,3,1,true,,false,false,"pattern '(?i)(""discount""|""tax_rate""|""notes""|""payment_terms""|""late_fee"")' not found",
invoice_extraction,extraction-quality,good,accuracy,llm,receipt,2,1,false,,false,false,"The amount field is missing the currency symbol ($) that was present in the source text, violating the requirement that amounts include currency where present in source.",
invoice_extraction,extraction-quality,good,accuracy,llm,receipt,1,1,false,,false,false,"The amount field is missing the currency symbol ($) that was present in the source text, violating the requirement that amounts include currency where present in source.",
invoice_extraction,extraction-quality,good,accuracy,llm,receipt,3,1,false,,false,false,"The amount field is missing the currency symbol ($) that was present in the source text, violating the requirement that amounts include currency where present in source.",
invoice_extraction,no-fabrication,safe,integrity,llm,invoice-simple,3,1,true,,false,false,"All four extracted values (vendor name, invoice number, amount, and due date) are directly traceable to the source invoice text with only minor formatting normalization (currency symbol removed, date reformatted to ISO standard).",
invoice_extraction,no-fabrication,safe,integrity,llm,receipt,2,1,true,,false,false,"All four extracted values (vendor name, receipt number, total amount, and payment due date) are directly traceable to verbatim text in the source invoice.",
invoice_extraction,no-fabrication,safe,integrity,llm,receipt,1,1,true,,false,false,"All four extracted values (vendor name, receipt number, total amount, and payment due date) are directly traceable to verbatim text in the source invoice.",
invoice_extraction,no-fabrication,safe,integrity,llm,receipt,3,1,true,,false,false,"All four extracted values (vendor name, receipt number, total amount, and payment due date) are directly traceable to verbatim text in the source invoice.",
