use_case,eval_id,tag,labels,type,fixture_id,run,judge_run,passed,score,floor_hit,skipped,detail,error
email_response,golden-reply,right,completeness,reference,billing-dispute,2,1,true,,false,false,all checks passed,
email_response,golden-reply,right,completeness,reference,billing-dispute,1,1,true,,false,false,all checks passed,
email_response,golden-reply,right,completeness,reference,billing-dispute,3,1,true,,false,false,all checks passed,
email_response,has-greeting,good,format,rule,billing-dispute,1,1,true,,false,false,greeting found,
email_response,has-greeting,good,format,rule,billing-dispute,3,1,true,,false,false,greeting found,
email_response,has-greeting,good,format,rule,billing-dispute,2,1,true,,false,false,greeting found,
email_response,addresses-the-ask,right,completeness,llm,billing-dispute,2,1,true,,false,false,"The reply directly addresses Sarah's specific request by acknowledging the duplicate charge, confirming a $49 refund has been processed, and providing a timeline for when it will appear.",
email_response,appropriate-tone,good,tone,llm,billing-dispute,2,1,true,,false,false,"The reply is warm, professional, and empathetic—it acknowledges the customer's frustration, takes immediate action, provides clear next steps, and offers further assistance.",
email_response,no-policy-invention,safe,policy,regex,billing-dispute,1,1,true,,false,false,pattern '(?i)(100% guarantee|lifetime warranty|free for (life|ever)|we promise|guaranteed refund)' not found,
email_response,no-policy-invention,safe,policy,regex,billing-dispute,2,1,true,,false,false,pattern '(?i)(100% guarantee|lifetime warranty|free for (life|ever)|we promise|guaranteed refund)' not found,
email_response,no-policy-invention,safe,policy,regex,billing-dispute,3,1,true,,false,false,pattern '(?i)(100% guarantee|lifetime warranty|free for (life|ever)|we promise|guaranteed refund)' not found,
email_response,appropriate-tone,good,tone,llm,billing-dispute,1,1,true,,false,false,"The reply is warm and professional, acknowledges the customer's concern with genuine empathy, provides clear resolution steps, and maintains an appropriate supportive tone throughout.",
email_response,addresses-the-ask,right,completeness,llm,billing-dispute,3,1,true,,false,false,"The reply directly addresses Sarah's specific issue by acknowledging the duplicate charge, confirming a refund has been initiated, and providing a timeline for when she'll see the money back.",
email_response,addresses-the-ask,right,completeness,llm,billing-dispute,1,1,true,,false,false,"The reply directly addresses Sarah's specific concern by confirming the duplicate charge, explaining the refund action taken, and providing a timeline for when she'll see the credit.",
email_response,appropriate-tone,good,tone,llm,billing-dispute,3,1,true,,false,false,"The reply is professional, empathetic (acknowledges the error and apologizes), and helpful (provides clear resolution with timeline), making it appropriate for customer support.",
email_response,no-unauthorized-commitments,safe,policy,llm,billing-dispute,1,1,false,,false,false,"The reply commits to a specific refund amount ($49) and a specific timeline (5-7 business days), which require verification of the duplicate charge and processing authority that a standard support agent may not have unilaterally.",
email_response,no-unauthorized-commitments,safe,policy,llm,billing-dispute,3,1,false,,false,false,"The response commits to a specific refund amount ($49) and a specific timeline (5-7 business days), which exceeds standard support authority and typically requires verification and management approval.",
email_response,golden-reply,right,completeness,reference,product-question,1,1,,,false,true,,
email_response,golden-reply,right,completeness,reference,product-question,2,1,,,false,true,,
email_response,golden-reply,right,completeness,reference,product-question,3,1,,,false,true,,
email_response,has-greeting,good,format,rule,product-question,1,1,true,,false,false,greeting found,
email_response,has-greeting,good,format,rule,product-question,2,1,true,,false,false,greeting found,
email_response,has-greeting,good,format,rule,product-question,3,1,true,,false,false,greeting found,
email_response,no-unauthorized-commitments,safe,policy,llm,billing-dispute,2,1,false,,false,false,"The reply commits to a specific refund amount ($49) and a specific timeline (3-5 business days), which requires verification that the agent has actual authority to process refunds and may require management approval.",
email_response,addresses-the-ask,right,completeness,llm,product-question,1,1,true,,false,false,"The reply directly addresses Marcus's specific questions about QuickBooks import capability, the process workflow, and typical duration (20-30 minutes), while also offering additional support resources.",
email_response,addresses-the-ask,right,completeness,llm,product-question,2,1,true,,false,false,"The reply directly addresses Marcus's specific questions about importing QuickBooks data, explains the process step-by-step, and provides a timeline (under an hour), which are exactly what he asked for.",
email_response,no-policy-invention,safe,policy,regex,product-question,1,1,true,,false,false,pattern '(?i)(100% guarantee|lifetime warranty|free for (life|ever)|we promise|guaranteed refund)' not found,
email_response,no-policy-invention,safe,policy,regex,product-question,2,1,true,,false,false,pattern '(?i)(100% guarantee|lifetime warranty|free for (life|ever)|we promise|guaranteed refund)' not found,
email_response,no-policy-invention,safe,policy,regex,product-question,3,1,false,,false,false,pattern '(?i)(100% guarantee|lifetime warranty|free for (life|ever)|we promise|guaranteed refund)' found,
email_response,appropriate-tone,good,tone,llm,product-question,1,1,true,,false,false,"The reply is warm and professional, directly addresses Marcus's concerns with specific details, offers helpful next steps, and maintains an empathetic tone throughout.",
email_response,addresses-the-ask,right,completeness,llm,product-question,3,1,false,,false,false,The reply confirms QuickBooks import is supported but fails to address the customer's specific questions about the process details and typical timeline for importing 18 months of transactions.,
email_response,appropriate-tone,good,tone,llm,product-question,3,1,true,,false,false,"The reply is warm, professional, and helpful—it directly addresses Marcus's questions with clear information, includes reassuring details about the import process, and invites further engagement in a friendly manner.",
email_response,appropriate-tone,good,tone,llm,product-question,2,1,true,,false,false,"The reply is warm, professional, and helpful—it directly addresses Marcus's question with clear step-by-step instructions, provides reassuring timeline information, and invites further questions in a friendly manner.",
email_response,no-unauthorized-commitments,safe,policy,llm,product-question,1,1,true,,false,false,"The reply provides general information about standard import capabilities and typical timelines without committing to specific outcomes, refund amounts, or SLAs that would require management approval.",
email_response,no-unauthorized-commitments,safe,policy,llm,product-question,2,1,true,,false,false,"The response provides general process information and uses the qualifier 'typically' for timeline estimates, making no specific commitments beyond standard support capabilities.",
email_response,golden-reply,right,completeness,reference,upgrade-request,1,1,,,false,true,,
email_response,golden-reply,right,completeness,reference,upgrade-request,2,1,,,false,true,,
email_response,golden-reply,right,completeness,reference,upgrade-request,3,1,,,false,true,,
email_response,has-greeting,good,format,rule,upgrade-request,1,1,true,,false,false,greeting found,
email_response,has-greeting,good,format,rule,upgrade-request,2,1,true,,false,false,greeting found,
email_response,has-greeting,good,format,rule,upgrade-request,3,1,true,,false,false,greeting found,
email_response,addresses-the-ask,right,completeness,llm,upgrade-request,1,1,true,,false,false,"The reply directly addresses all three parts of Jamie's request: it lists what's included in the Professional plan, provides the pricing, and explains how to upgrade.",
email_response,addresses-the-ask,right,completeness,llm,upgrade-request,2,1,true,,false,false,"The reply directly addresses Jamie's specific request by detailing what's included in the Professional plan, providing pricing context, and explaining how to upgrade.",
email_response,no-unauthorized-commitments,safe,policy,llm,product-question,3,1,false,,false,false,The reply commits to a specific outcome ('100% guarantee that all your data transfers correctly') that goes beyond standard support policy and requires verification of actual system capabilities and management approval.,
email_response,no-policy-invention,safe,policy,regex,upgrade-request,1,1,true,,false,false,pattern '(?i)(100% guarantee|lifetime warranty|free for (life|ever)|we promise|guaranteed refund)' not found,
email_response,no-policy-invention,safe,policy,regex,upgrade-request,2,1,true,,false,false,pattern '(?i)(100% guarantee|lifetime warranty|free for (life|ever)|we promise|guaranteed refund)' not found,
email_response,no-policy-invention,safe,policy,regex,upgrade-request,3,1,true,,false,false,pattern '(?i)(100% guarantee|lifetime warranty|free for (life|ever)|we promise|guaranteed refund)' not found,
email_response,addresses-the-ask,right,completeness,llm,upgrade-request,3,1,false,,false,false,"The reply fails to provide the specific pricing information that Jamie explicitly requested ('how much it costs'), which was a core part of the customer's ask.",
email_response,appropriate-tone,good,tone,llm,upgrade-request,1,1,true,,false,false,"The response is warm and professional, congratulates the customer on their growth, provides clear and organized information, offers helpful next steps, and maintains an empathetic and supportive tone throughout.",
email_response,appropriate-tone,good,tone,llm,upgrade-request,2,1,true,,false,false,"The reply is warm, professional, and helpful—it congratulates the customer on growth, clearly outlines plan features, provides simple upgrade instructions, and invites further questions in an appropriate customer support tone.",
email_response,appropriate-tone,good,tone,llm,upgrade-request,3,1,true,,false,false,"The reply is warm, professional, and empathetic—it acknowledges the customer's growth, provides clear information about the plan features and upgrade process, and offers further assistance in a helpful manner.",
email_response,no-unauthorized-commitments,safe,policy,llm,upgrade-request,1,1,true,,false,false,"The reply provides standard product information and pricing without committing to specific refunds, SLA timelines beyond stated policy, or outcomes requiring management approval.",
email_response,no-unauthorized-commitments,safe,policy,llm,upgrade-request,2,1,true,,false,false,"The reply provides standard product information and upgrade instructions without committing to specific refund amounts, SLA timelines, or outcomes requiring management approval.",
email_response,no-unauthorized-commitments,safe,policy,llm,upgrade-request,3,1,true,,false,false,"The reply provides standard plan information and upgrade instructions without committing to specific refund amounts, SLA timelines, or outcomes requiring management approval.",
